# x1 x2 x3 x4
# 441 4
# 441 4
 5.07059680e-02  1.24228370e-02  0.00000000e+00  0.00000000e+00
 5.89541910e-02  1.78899740e-02  0.00000000e+00  0.00000000e+00
 6.71137410e-02  2.34256200e-02  0.00000000e+00  0.00000000e+00
 7.51849600e-02  2.90286690e-02  0.00000000e+00  0.00000000e+00
 8.31682450e-02  3.46980240e-02  0.00000000e+00  0.00000000e+00
 9.10640210e-02  4.04326020e-02  0.00000000e+00  0.00000000e+00
 9.88727700e-02  4.62313320e-02  0.00000000e+00  0.00000000e+00
 1.06594960e-01  5.20931520e-02  0.00000000e+00  0.00000000e+00
 1.14231120e-01  5.80170130e-02  0.00000000e+00  0.00000000e+00
 1.21781830e-01  6.40018800e-02  0.00000000e+00  0.00000000e+00
 1.29247650e-01  7.00467280e-02  0.00000000e+00  0.00000000e+00
 1.36629180e-01  7.61505470e-02  0.00000000e+00  0.00000000e+00
 1.43927050e-01  8.23123400e-02  0.00000000e+00  0.00000000e+00
 1.51141910e-01  8.85311200e-02  0.00000000e+00  0.00000000e+00
 1.58274460e-01  9.48059190e-02  0.00000000e+00  0.00000000e+00
 1.65325330e-01  1.01135780e-01  0.00000000e+00  0.00000000e+00
 1.72295290e-01  1.07519750e-01  0.00000000e+00  0.00000000e+00
 1.79185010e-01  1.13956910e-01  0.00000000e+00  0.00000000e+00
 1.85995250e-01  1.20446340e-01  0.00000000e+00  0.00000000e+00
 1.92726730e-01  1.26987130e-01  0.00000000e+00  0.00000000e+00
 1.99380260e-01  1.33578400e-01  0.00000000e+00  0.00000000e+00
 5.61166360e-02  4.04183190e-03  0.00000000e+00  0.00000000e+00
 6.44037200e-02  9.55435700e-03  0.00000000e+00  0.00000000e+00
 7.26002480e-02  1.51354590e-02  0.00000000e+00  0.00000000e+00
 8.07066030e-02  2.07840130e-02  0.00000000e+00  0.00000000e+00
 8.87232060e-02  2.64989040e-02  0.00000000e+00  0.00000000e+00
 9.66505490e-02  3.22790320e-02  0.00000000e+00  0.00000000e+00
 1.04489130e-01  3.81233070e-02  0.00000000e+00  0.00000000e+00
 1.12239470e-01  4.40306510e-02  0.00000000e+00  0.00000000e+00
 1.19902130e-01  5.00000010e-02  0.00000000e+00  0.00000000e+00
 1.27477740e-01  5.60303020e-02  0.00000000e+00  0.00000000e+00
 1.34966880e-01  6.21205200e-02  0.00000000e+00  0.00000000e+00
 1.42370220e-01  6.82696290e-02  0.00000000e+00  0.00000000e+00
 1.49688440e-01  7.44766170e-02  0.00000000e+00  0.00000000e+00
 1.56922190e-01  8.07404870e-02  0.00000000e+00  0.00000000e+00
 1.64072200e-01  8.70602560e-02  0.00000000e+00  0.00000000e+00
 1.71139220e-01  9.34349550e-02  0.00000000e+00  0.00000000e+00
 1.78123950e-01  9.98636280e-02  0.00000000e+00  0.00000000e+00
 1.85027190e-01  1.06345330e-01  0.00000000e+00  0.00000000e+00
 1.91849680e-01  1.12879150e-01  0.00000000e+00  0.00000000e+00
 1.98592240e-01  1.19464160e-01  0.00000000e+00  0.00000000e+00
 2.05255610e-01  1.26099460e-01  0.00000000e+00  0.00000000e+00
 6.16182230e-02 -4.30928500e-03  0.00000000e+00  0.00000000e+00
 6.99438190e-02  1.24921960e-03  0.00000000e+00  0.00000000e+00
 7.81769290e-02  6.87635840e-03  0.00000000e+00  0.00000000e+00
 8.63179890e-02  1.25709850e-02  0.00000000e+00  0.00000000e+00
 9.43674510e-02  1.83319690e-02  0.00000000e+00  0.00000000e+00
 1.02325840e-01  2.41581910e-02  0.00000000e+00  0.00000000e+00
 1.10193730e-01  3.00485430e-02  0.00000000e+00  0.00000000e+00
 1.17971640e-01  3.60019310e-02  0.00000000e+00  0.00000000e+00
 1.25660230e-01  4.20172740e-02  0.00000000e+00  0.00000000e+00
 1.33260090e-01  4.80935070e-02  0.00000000e+00  0.00000000e+00
 1.40771930e-01  5.42295770e-02  0.00000000e+00  0.00000000e+00
 1.48196430e-01  6.04244430e-02  0.00000000e+00  0.00000000e+00
 1.55534270e-01  6.66770840e-02  0.00000000e+00  0.00000000e+00
 1.62786220e-01  7.29864860e-02  0.00000000e+00  0.00000000e+00
 1.69952980e-01  7.93516570e-02  0.00000000e+00  0.00000000e+00
 1.77035360e-01  8.57716150e-02  0.00000000e+00  0.00000000e+00
 1.84034150e-01  9.22453940e-02  0.00000000e+00  0.00000000e+00
 1.90950100e-01  9.87720420e-02  0.00000000e+00  0.00000000e+00
 1.97784090e-01  1.05350620e-01  0.00000000e+00  0.00000000e+00
 2.04536870e-01  1.11980220e-01  0.00000000e+00  0.00000000e+00
 2.11209340e-01  1.18659910e-01  0.00000000e+00  0.00000000e+00
 6.72127030e-02 -1.26297560e-02  0.00000000e+00  0.00000000e+00
 7.55764200e-02 -7.02467250e-03  0.00000000e+00  0.00000000e+00
 8.38456800e-02 -1.35091250e-03  0.00000000e+00  0.00000000e+00
 9.20209660e-02  4.39036220e-03  0.00000000e+00  0.00000000e+00
 1.00102780e-01  1.01980000e-02  0.00000000e+00  0.00000000e+00
 1.08091680e-01  1.60708640e-02  0.00000000e+00  0.00000000e+00
 1.15988260e-01  2.20078280e-02  0.00000000e+00  0.00000000e+00
 1.23793170e-01  2.80077820e-02  0.00000000e+00  0.00000000e+00
 1.31507020e-01  3.40696300e-02  0.00000000e+00  0.00000000e+00
 1.39130490e-01  4.01922900e-02  0.00000000e+00  0.00000000e+00
 1.46664350e-01  4.63746940e-02  0.00000000e+00  0.00000000e+00
 1.54109260e-01  5.26157900e-02  0.00000000e+00  0.00000000e+00
 1.61466030e-01  5.89145380e-02  0.00000000e+00  0.00000000e+00
 1.68735380e-01  6.52699190e-02  0.00000000e+00  0.00000000e+00
